Year;Month;Day;Hour;Minute;Temperature
2020;01;30;14;00;2.25
2020;01;30;15;00;2.32
2020;01;30;16;00;1.96
2020;01;30;17;00;1.03
2020;01;30;18;00;0.18
2020;01;30;19;00;-0.16
2020;01;30;20;00;-0.30
2020;01;30;21;00;-0.27
2020;01;30;22;00;-0.22
2020;01;30;23;00;-0.18
