old_env,new_env,old_house,new_house
-6.21,-5.59,-1.9396242128574188,-1.9105956629131609
-5.59,-4.85,-1.9105956629131609,-1.7144691123163576
-4.85,-3.9,-1.7144691123163576,-1.4783541144406647
-3.9,-2.98,-1.4783541144406647,-1.2254166171385694
-2.98,-2.31,-1.2254166171385694,-1.041433330972958
-2.31,-2.03,-1.041433330972958,-0.994266900297421
-2.03,-1.75,-0.994266900297421,-0.8693291089700028
-1.75,-1.35,-0.8693291089700028,-0.6933043278604262
-1.35,-2.02,-0.6933043278604262,-1.1518227607316907
-2.02,-1.28,-1.1518227607316907,-0.358018490120705
-1.28,-0.29,-0.358018490120705,0.26080354698643393
-0.29,0.69,0.26080354698643393,0.6551308670895961
0.69,0.94,0.6551308670895961,0.5337313302687072
0.94,1.47,0.5337313302687072,0.9676097714116434
1.47,2.95,0.9676097714116434,1.4079738025220345
2.95,3.89,1.4079738025220345,1.5754447617983836
3.89,3.93,1.5754447617983836,1.5344560072552151
3.93,3.19,1.5344560072552151,1.286679444440139
3.19,2.64,1.286679444440139,1.1633230658591194
2.64,2.01,1.1633230658591194,0.920150495376099
2.01,1.6,0.920150495376099,0.8245298688488496
1.6,1.54,0.8245298688488496,0.8458546749596827
1.54,1.13,0.8458546749596827,0.5330528351301747
1.13,-0.77,0.5330528351301747,-1.1415133968246605
-0.77,-1,-1.1415133968246605,0.3761826641734843
-1,0.3,0.3761826641734843,-0.2760120725140194
0.3,1.46,-0.2760120725140194,1.317578108695655
1.46,1.35,1.317578108695655,0.1800607989106597
1.35,0.97,0.1800607989106597,0.888785239014094
0.97,0.82,0.888785239014094,-0.2622694015970869
0.82,0.7,-0.2622694015970869,0.9809533126490204
0.7,0.25,0.9809533126490204,-0.8549580765447042
0.25,-0.8,-0.8549580765447042,0.23443138984509773
-0.8,-2.66,0.23443138984509773,-1.7013028507132697
-2.66,-3.86,-1.7013028507132697,-1.469250539998788
-3.86,-4.84,-1.469250539998788,-1.8359600921591983
-4.84,-5.85,-1.8359600921591983,-2.0035069023691436
-5.85,-6.6,-2.0035069023691436,-2.14394335224391
-6.6,-6.89,-2.14394335224391,-2.1785446168844214
-6.89,-6.83,-2.1785446168844214,-2.1567232977634334
-6.83,-6.81,-2.1567232977634334,-2.1571454986246446
-6.81,-7.09,-2.1571454986246446,-2.22100303947909
-7.09,-7.6,-2.22100303947909,-2.3192664703567183
-7.6,-8.07,-2.3192664703567183,-2.3980687082824135
-8.07,-8.5,-2.3980687082824135,-2.470208754684022
-8.5,-8.94,-2.470208754684022,-2.5435784330969584
-8.94,-9.35,-2.5435784330969584,-2.6089119507762315
-9.35,-10,-2.6089119507762315,-2.718655559136495
-10,-9.46,-2.718655559136495,-2.5964099138740604
-9.46,-8.22,-2.5964099138740604,-2.3714109905551886
-8.22,-6.71,-2.3714109905551886,-2.082927989500552
-6.71,-5.23,-2.082927989500552,-1.7739988755631861
-5.23,-3.93,-1.7739988755631861,-1.4683327703340323
-3.93,-3.14,-1.4683327703340323,-1.292929707936966
-3.14,-2.85,-1.292929707936966,-1.2478262267090856
-2.85,-3.19,-1.2478262267090856,-1.3936189483825607
-3.19,-4.11,-1.3936189483825607,-1.6481447301791914
-4.11,-5.75,-1.6481447301791914,-2.025303747545244
-5.75,-6.56,-2.025303747545244,-2.1294826255348402
-6.56,-6.92,-2.1294826255348402,-2.1887250568459162
-6.92,-7.16,-2.1887250568459162,-2.2296356077068027
-7.16,-7.36,-2.2296356077068027,-2.2650307707166357
-7.36,-7.51,-2.2650307707166357,-2.290189780189267
-7.51,-7.71,-2.290189780189267,-2.328048586222103
-7.71,-7.93,-2.328048586222103,-2.3668441887411804
-7.93,-8.13,-2.3668441887411804,-2.400657370650552
-8.13,-8.37,-2.400657370650552,-2.4432238189223368
-8.37,-8.65,-2.4432238189223368,-2.491340237919675
-8.65,-8.94,-2.491340237919675,-2.539421147049131
-8.94,-9.26,-2.539421147049131,-2.5924079256457437
-9.26,-9.57,-2.5924079256457437,-2.6415132167669078
-9.57,-8.79,-2.6415132167669078,-2.4796142408110766
-8.79,-7.83,-2.4796142408110766,-2.313090088861418
-7.83,-6.12,-2.313090088861418,-1.9511304187928038
-6.12,-4.87,-1.9511304187928038,-1.708469953264381
-4.87,-3.63,-1.708469953264381,-1.386192644164446
-3.63,-2.55,-1.386192644164446,-1.0787990340353266
-2.55,-1.76,-1.0787990340353266,-0.825348996464328
-1.76,-1.22,-0.825348996464328,-0.6282125464647073
-1.22,-1.13,-0.6282125464647073,-0.7083695741174183
-1.13,-1.57,-0.7083695741174183,-0.9282405000228021
-1.57,-3.95,-0.9282405000228021,-1.7383208852157297
-3.95,-4.81,-1.7383208852157297,-1.7526206420056423
-4.81,-4.63,-1.7526206420056423,-1.6962839850668747
-4.63,-4.71,-1.6962839850668747,-1.7360057646601077
